"file","golden","symbols"
"fixtures/corpus/accomp-air-coil-cools-and-dehumidifies.frees","true","AirCoil;MoistAirSink;MoistAirSource;TwoPhaseSink;TwoPhaseSource"
"fixtures/corpus/accomp-exv-opening-sets-flow-2.frees","true","EXV;TwoPhasePressureSink;TwoPhasePressureSource"
"fixtures/corpus/accomp-exv-opening-sets-flow.frees","true","EXV;TwoPhasePressureSink;TwoPhasePressureSource"
"fixtures/corpus/accomp-txv-relaxes-toward-its-superheat-target.frees","true","odevalue;finalvalue;minvalue;ThermalSource;TwoPhasePressureSink;TwoPhasePressureSource;TXV"
"fixtures/corpus/accomp-volumetric-compressor-scales-flow-with-rpm-2.frees","true","TwoPhaseCompressor;TwoPhasePressureSource;TwoPhaseSink"
"fixtures/corpus/accomp-volumetric-compressor-scales-flow-with-rpm.frees","true","TwoPhaseCompressor;TwoPhasePressureSource;TwoPhaseSink"
"fixtures/corpus/adiabatic-flame-temp.frees","true","adiabaticflametemp"
"fixtures/corpus/adv_connect_keyword_case.frees","true","Conduction;ThermalSource"
"fixtures/corpus/adv_cyclepath_rankine_order.frees","true","Boiler;Condenser;Pump;Sink;Source;Turbine"
"fixtures/corpus/adv_diag_connect_two_streams.frees","true","Sink;Source;Throttle"
"fixtures/corpus/adv_diag_duplicate_instance_rejected.frees","true","ThermalSource"
"fixtures/corpus/adv_diag_no_mangled_scalar_in_message.frees","true","Sink;Source;Valve"
"fixtures/corpus/adv_diag_port_arity_rejected.frees","true","Conduction;ThermalSource"
"fixtures/corpus/adv_diag_unknown_component_rejected.frees","true",""
"fixtures/corpus/adv_diag_unknown_param_rejected.frees","true","ThermalSource"
"fixtures/corpus/adv_diag_unknown_port_rejected.frees","true","Conduction;ThermalSource"
"fixtures/corpus/adv_domain_fluid_mechanical_rejected.frees","true","Inertia;Source"
"fixtures/corpus/adv_domain_gas_vs_oil_rejected.frees","true","HydraulicOrifice;HydraulicTank;PneumaticSupply"
"fixtures/corpus/adv_domain_heat_electrical_rejected.frees","true","Ground;Resistor;ThermalSource"
"fixtures/corpus/adv_domain_liquid_vs_twophase_rejected.frees","true","LiquidSource;TwoPhaseSink"
