"name","source","note"
"anova1_df_between","crates/frees-core/src/eval.rs","Absent from manifest names and recorded aliases; may be an alias or additional operation"
"anova1_df_within","crates/frees-core/src/eval.rs","Absent from manifest names and recorded aliases; may be an alias or additional operation"
"anova1_f","crates/frees-core/src/eval.rs","Absent from manifest names and recorded aliases; may be an alias or additional operation"
"anova1_pval","crates/frees-core/src/eval.rs","Absent from manifest names and recorded aliases; may be an alias or additional operation"
"betainc","crates/frees-core/src/eval.rs","Absent from manifest names and recorded aliases; may be an alias or additional operation"
"bootstrap_ci_hi","crates/frees-core/src/eval.rs","Absent from manifest names and recorded aliases; may be an alias or additional operation"
"bootstrap_ci_lo","crates/frees-core/src/eval.rs","Absent from manifest names and recorded aliases; may be an alias or additional operation"
"chi2gof_df","crates/frees-core/src/eval.rs","Absent from manifest names and recorded aliases; may be an alias or additional operation"
"chi2gof_pval","crates/frees-core/src/eval.rs","Absent from manifest names and recorded aliases; may be an alias or additional operation"
"chi2gof_stat","crates/frees-core/src/eval.rs","Absent from manifest names and recorded aliases; may be an alias or additional operation"
"ci_mean_hi","crates/frees-core/src/eval.rs","Absent from manifest names and recorded aliases; may be an alias or additional operation"
"ci_mean_lo","crates/frees-core/src/eval.rs","Absent from manifest names and recorded aliases; may be an alias or additional operation"
"corrcoef","crates/frees-core/src/eval.rs","Absent from manifest names and recorded aliases; may be an alias or additional operation"
"cov","crates/frees-core/src/eval.rs","Absent from manifest names and recorded aliases; may be an alias or additional operation"
"cube","crates/frees-core/src/eval.rs","Absent from manifest names and recorded aliases; may be an alias or additional operation"
"fcdf","crates/frees-core/src/eval.rs","Absent from manifest names and recorded aliases; may be an alias or additional operation"
"finv","crates/frees-core/src/eval.rs","Absent from manifest names and recorded aliases; may be an alias or additional operation"
"fpdf","crates/frees-core/src/eval.rs","Absent from manifest names and recorded aliases; may be an alias or additional operation"
"hypot","crates/frees-core/src/eval.rs","Absent from manifest names and recorded aliases; may be an alias or additional operation"
"int","crates/frees-core/src/eval.rs","Absent from manifest names and recorded aliases; may be an alias or additional operation"
"interp2","crates/frees-core/src/eval.rs","Absent from manifest names and recorded aliases; may be an alias or additional operation"
"kurtosis","crates/frees-core/src/eval.rs","Absent from manifest names and recorded aliases; may be an alias or additional operation"
"log","crates/frees-core/src/eval.rs","Absent from manifest names and recorded aliases; may be an alias or additional operation"
"mad","crates/frees-core/src/eval.rs","Absent from manifest names and recorded aliases; may be an alias or additional operation"
"pearson","crates/frees-core/src/eval.rs","Absent from manifest names and recorded aliases; may be an alias or additional operation"
"permtest_pval","crates/frees-core/src/eval.rs","Absent from manifest names and recorded aliases; may be an alias or additional operation"
"permtest_stat","crates/frees-core/src/eval.rs","Absent from manifest names and recorded aliases; may be an alias or additional operation"
"pi","crates/frees-core/src/eval.rs","Absent from manifest names and recorded aliases; may be an alias or additional operation"
"ramp","crates/frees-core/src/eval.rs","Absent from manifest names and recorded aliases; may be an alias or additional operation"
"rem","crates/frees-core/src/eval.rs","Absent from manifest names and recorded aliases; may be an alias or additional operation"
"skewness","crates/frees-core/src/eval.rs","Absent from manifest names and recorded aliases; may be an alias or additional operation"
"spearman","crates/frees-core/src/eval.rs","Absent from manifest names and recorded aliases; may be an alias or additional operation"
"sqr","crates/frees-core/src/eval.rs","Absent from manifest names and recorded aliases; may be an alias or additional operation"
"tcdf","crates/frees-core/src/eval.rs","Absent from manifest names and recorded aliases; may be an alias or additional operation"
"tinv","crates/frees-core/src/eval.rs","Absent from manifest names and recorded aliases; may be an alias or additional operation"
"tpdf","crates/frees-core/src/eval.rs","Absent from manifest names and recorded aliases; may be an alias or additional operation"
"trimmedmean","crates/frees-core/src/eval.rs","Absent from manifest names and recorded aliases; may be an alias or additional operation"
"ttest1_df","crates/frees-core/src/eval.rs","Absent from manifest names and recorded aliases; may be an alias or additional operation"
"ttest1_pval","crates/frees-core/src/eval.rs","Absent from manifest names and recorded aliases; may be an alias or additional operation"
"ttest1_stat","crates/frees-core/src/eval.rs","Absent from manifest names and recorded aliases; may be an alias or additional operation"
"ttest2_df","crates/frees-core/src/eval.rs","Absent from manifest names and recorded aliases; may be an alias or additional operation"
"ttest2_pval","crates/frees-core/src/eval.rs","Absent from manifest names and recorded aliases; may be an alias or additional operation"
"ttest2_stat","crates/frees-core/src/eval.rs","Absent from manifest names and recorded aliases; may be an alias or additional operation"
"ttest_paired_df","crates/frees-core/src/eval.rs","Absent from manifest names and recorded aliases; may be an alias or additional operation"
"ttest_paired_pval","crates/frees-core/src/eval.rs","Absent from manifest names and recorded aliases; may be an alias or additional operation"
"ttest_paired_stat","crates/frees-core/src/eval.rs","Absent from manifest names and recorded aliases; may be an alias or additional operation"
"wmean","crates/frees-core/src/eval.rs","Absent from manifest names and recorded aliases; may be an alias or additional operation"
"wvar","crates/frees-core/src/eval.rs","Absent from manifest names and recorded aliases; may be an alias or additional operation"
