"name","families","domain","page","tier","boundExamples","runnableHits","allHits"
"sin","functions","Math","web/src/docs/reference/math/sin.md","rich","projectile-motion;projectile-trajectory","gallery:projectile-motion;gallery:projectile-trajectory;gallery:damped-oscillator;gallery:engine-cycle-wiebe;help-cycle:orbit-kepler;help-cycle:ev-longitudinal;help-cycle:ev-sizing;help-cycle:load-flow","gallery:projectile-motion;gallery:projectile-trajectory;gallery:damped-oscillator;gallery:engine-cycle-wiebe;help-cycle:orbit-kepler;help-cycle:ev-longitudinal;help-cycle:ev-sizing;help-cycle:load-flow;docs/advanced_solving.md:6;docs/language_fundamentals.md:2"
"cos","functions","Math","web/src/docs/reference/math/cos.md","rich","projectile-motion;projectile-trajectory","gallery:projectile-motion;gallery:projectile-trajectory;gallery:damped-oscillator;gallery:engine-cycle-wiebe;help-cycle:orbit-kepler;help-cycle:pelton-turbine;help-cycle:ev-longitudinal;help-cycle:ev-sizing;help-cycle:load-flow","gallery:projectile-motion;gallery:projectile-trajectory;gallery:damped-oscillator;gallery:engine-cycle-wiebe;help-cycle:orbit-kepler;help-cycle:pelton-turbine;help-cycle:ev-longitudinal;help-cycle:ev-sizing;help-cycle:load-flow"
"tan","functions","Math","web/src/docs/reference/math/tan.md","stub","","help-cycle:orbit-kepler","help-cycle:orbit-kepler"
"asin","functions","Math","web/src/docs/reference/math/asin.md","stub","","",""
"acos","functions","Math","web/src/docs/reference/math/acos.md","stub","","",""
"atan","functions","Math","web/src/docs/reference/math/atan.md","stub","","",""
"atan2","functions","Math","web/src/docs/reference/math/atan2.md","stub","","","docs/language_fundamentals.md:3"
"exp","functions","Math","web/src/docs/reference/math/exp.md","rich","damped-oscillator;sounding-rocket-trajectory","gallery:damped-oscillator;gallery:sounding-rocket-trajectory;help-cycle:pid-pole-placement;help-cycle:second-order-step;help-cycle:ode-stiff-linear","gallery:damped-oscillator;gallery:sounding-rocket-trajectory;help-cycle:pid-pole-placement;help-cycle:second-order-step;help-cycle:ode-stiff-linear"
"ln","functions","Math","web/src/docs/reference/math/ln.md","rich","karman-rocket","gallery:karman-rocket;help-cycle:ode-lotka","gallery:karman-rocket;help-cycle:ode-lotka"
"log10","functions","Math","web/src/docs/reference/math/log10.md","stub","","help-cycle:pipe-network;help-cycle:bode-response","help-cycle:pipe-network;help-cycle:bode-response;docs/language_fundamentals.md:7"
"log2","functions","Math","web/src/docs/reference/math/log2.md","rich","","","docs/reference/math/log2.md:2"
